source,target,context,text_index
pd,pédés,bon vous me dégouter les pd je me casse et allé vous faire soigner,2633
allé,allez,bon vous me dégouter les pd je me casse et allé vous faire soigner,2633
chao,ciao,chao ksos,2634
ksos,cassos,chao ksos,2634
a,à,et Camille tu sers a r,2635
r,rien,et Camille tu sers a r,2635
ba,bah,ah ba oui ! c'est évident,2638
meme,même,nicola Ellian Arthur60 dans le meme panier,2641
planette,planète,retourne sur ta planette,2642
ailleur,ailleurs,Paul ailleur,2643
chao,ciao,chao ksos,2644
ksos,cas social,chao ksos,2644
c,c'est,que tu soit nazi ou gay c le meme niveau,2645
meme,même,que tu soit nazi ou gay c le meme niveau,2645
c,c'est,non c faux,2647
bahahah,rire,bahahah couple de pd,2648
pd,pédéraste,bahahah couple de pd,2648
déguelasse,dégueulasse,Déguelasse,2649
frr,frère,ça dégoute frr,2650
wsh,wesh,paul et brice assumer wsh,2654
c,c'est,c vous les nul,2655
wlh,wallah,wlh c'est pas bien Paul,2656
l'harcelement,l'harcèlement,L'harcelement est condamnable pour rappel donc arretez,2658
arretez,arrêtez,L'harcelement est condamnable pour rappel donc arretez,2658
goat,le meilleur,paul le goat !!!!,2660
blcccc,je m'en bats les couilles,BLCCCC,2662
pd,pédés,Que des Pd dans le groupe,2664
y,il,y fait ce qui veux,2666
tehon,honte,paul la tehon,2667
y,il,Y fait de mal à personne,2670
ptdr,pété de rire,Assume tout simplement que vous aussi vous êtes gay ptdr,2671
y’a,il y a,y’a pas a autant refoulé,2672
a,à,y’a pas a autant refoulé,2672
degage,dégage,Paul degage y a personne pour toi ici,2673
y a,il y a,Paul degage y a personne pour toi ici,2673
arretez,arrêtez,Arretez,2674
pd,pédé,tu nous degoutes tous pd pd pd,2675
pd,pédé,tu nous degoutes tous pd pd pd,2675
pd,pédé,tu nous degoutes tous pd pd pd,2675
frr,frère,paul frr vrm tu me degoute,2680
vrm,vraiment,paul frr vrm tu me degoute,2680
degoute,dégoûtes,paul frr vrm tu me degoute,2680
sal,sale,sal pd,2683
pd,pédé,sal pd,2683
bahahaha,hahaha,"""revolte"" bahahaha t'as 50 ans comme ton mec",2686
sayer,ça y est,Arrêtés de vous répétez sayer apaiser votre âme,2687
a,à,a laide,2689
laide,l'aide,a laide,2689
etes,êtes,vous etes fou,2691
harcelement,harcèlement,L'homophobie et le harcelement est condamnable DONC ARRETEZ !!,2692
vas,va,il vas sur Pornhub Gay ce fils de pute,2693
merite,mérite,brice aussi tu merite la mort wsh,2694
wsh,wesh,brice aussi tu merite la mort wsh,2694
oe,oui,oe,2696
ta,tu as,ellian ta trop raison,2698
a,à,brice tu sert a r donc tg,2700
r,rien,brice tu sert a r donc tg,2700
tg,ta gueule,brice tu sert a r donc tg,2700
y,il,mais laisse y fait ce qui veux,2701
plan a 4,plan à quatre,Théo Brice Plan a 4 les reufs? no homo,2704
reufs,frères,Théo Brice Plan a 4 les reufs? no homo,2704
no homo,sans arrière-pensée homosexuelle,Théo Brice Plan a 4 les reufs? no homo,2704
dingueire,dinguerie,Nicola dis pas de dingueire je balance a la prof sinon,2709
fdp,fils de pute,si fdp,2710
wsh,wesh,wsh nico faut quil se calme,2711
quil,qu'il,wsh nico faut quil se calme,2711
tg,ta gueule,tg brice vrm,2714
vrm,vraiment,tg brice vrm,2714
boug,homme,il est fou le boug,2715
prof,professeur,quelle prof ??,2719
trans,transgenre,ellian arrete de faire l'homophobe on sait que t'es un trans mon reuf,2720
reuf,frère,ellian arrete de faire l'homophobe on sait que t'es un trans mon reuf,2720
ca,ça,ca se voit t'es pd toi,2721
pd,pédé,ca se voit t'es pd toi,2721
bine,bien,c’est bine t’es pas si con que ça au final Nicola tu connais au moins ton prénom,2723
vou,vous,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
vou,vous,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
render,rendez,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
pa,pas,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
comte,compte,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
vou,vous,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
blesser,blessez,BON ARRETEZ STOP !! LE HARCELEMENT VOU VOU RENDER PA COMTE VOU BLESSER PAUL !!!!,2725
fou,fout,on s'en fou de paul,2730
d'etre,d'être,c'est pas gentil d'etre mechant,2731
mechant,méchant,c'est pas gentil d'etre mechant,2731
violance,violence,STOP A LA VIOLANCE,2733
30km,énormément,paul il mange 30km de queue,2735
queue,pénis,paul il mange 30km de queue,2735
daronne,mère,c'est plus que ta daronne,2737
tkt,t'inquiète,Tkt paul,2741
ca,ça,ca va aller,2743
dead,mourir,brice va dead,2745
meme,même,viens meme pas en cours,2746
ho,oh,mais ho calmos les nullos,2747
calmos,calmez-vous,mais ho calmos les nullos,2747
nullos,personnes nulles,mais ho calmos les nullos,2747
sangs,amis,oh les sangs oh pire vivez votre vie de votre côté lui de la sienne et c’est tout,2748
no homo,sans sous-entendu homosexuel,on t'attend à la sortie Paul (no homo),2749
vazy,vas-y,vazy Arthur on t’attend aussi,2750
trouple,trio amoureux,theo brice et paul un trouple gay,2751
render,rendez,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
pa,pas,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
comte,compte,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
ya,il y a,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
gen,gens,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
a,à,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
quause,cause,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
vo,vos,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
conneri,conneries,VOUS VOUS RENDER PA COMTE YA DES GEN IL SE SUICIDE A QUAUSE DE VO CONNERI,2752
tg,ta gueule,tg lisa,2753
bahahaha,rire,BAHAHAHA DE FOU,2754
tkt,t'inquiète,tkt je ramene mon equip,2755
ramene,ramène,tkt je ramene mon equip,2755
equip,équipe,tkt je ramene mon equip,2755
a,à,tu sers a rien,2756
tg,ta gueule,lisa tg,2758
l'humanite,l'humanité,faut qu'il se suicide c'est le mieux pour l'humanite,2763
thermes,termes,dis lui les thermes theo,2766
frr,frère,Théo 72 frr,2768
t,t'es,t pd t pd assume,2773
pd,pédé,t pd t pd assume,2773
t,t'es,t pd t pd assume,2773
pd,pédé,t pd t pd assume,2773
espece,espèce,espece de gros gay,2776
j'parle,je parle,j'parle pas au pedale,2778
a,à,salut Ellian je voulais te dire que ce que tu fait a Paul est vraiment nul,2780
fou,fous,je m'en fou Paul t es gay de tout facon tout le monde le dit sal gay,2781
t es,t'es,je m'en fou Paul t es gay de tout facon tout le monde le dit sal gay,2781
facon,façon,je m'en fou Paul t es gay de tout facon tout le monde le dit sal gay,2781
sal,sale,je m'en fou Paul t es gay de tout facon tout le monde le dit sal gay,2781
;(,tristesse,c'est pas de ma faute ellian je pensais que tu étais mon ami...  ;(,2783
c,c'est,si c est de ta faute,2784
t'est,t'es,mais toi t'est qu'un gay refouler Ellian,2785
nan,non,nan j aime pas les pd,2786
j,je,nan j aime pas les pd,2786
pd,pédé,nan j aime pas les pd,2786
o,au,mais o pire laisse le trkl et fait ta vie sans faire chier personne,2789
trkl,tranquille,mais o pire laisse le trkl et fait ta vie sans faire chier personne,2789
ouai,ouais,ouai mais sa a changer,2791
sa,ça,ouai mais sa a changer,2791
ca,ça,mais on le sait que tu fait ca pour te cacher,2792
mtn,maintenant,mtn je t aime plus,2793
t,te,mtn je t aime plus,2793
ca,ça,en quoi ca a cahnger je suis toujours pareil,2794
cahnger,changer,en quoi ca a cahnger je suis toujours pareil,2794
tg,ta gueule,tg toi,2797
t,t'es,t es adopter et en plus t es noir,2799
t,t'es,t es adopter et en plus t es noir,2799
etes,êtes,vous etes nul les mec serieux,2801
serieus,sérieux,vous etes nul les mec serieux,2801
tg,ta gueule,tg,2802
woah,waouh,woah quelle repartie,2805
palisir,plaisir,avec grand palisir si tu en fait partie,2807
meme,même,mdr toi meme,2808
frr,frères,Salut les frr,2809
etes,êtes,vous etes tous gay ou quoi,2811
j'suis,je suis,Non j'suis hétéro moi,2812
pd,pédé,bande de pd,2814
oe,ouais,oe de ouf je pref etre gay que d'etre comme toi ellian,2816
pref,préfère,oe de ouf je pref etre gay que d'etre comme toi ellian,2816
etre,être,oe de ouf je pref etre gay que d'etre comme toi ellian,2816
d'etre,d'être,oe de ouf je pref etre gay que d'etre comme toi ellian,2816
tg,ta gueule,toi tg le gay la,2817
ta,tu as,mais ta aucune repartit poupou,2821
repartit,répartie,mais ta aucune repartit poupou,2821
poupou,bêta,mais ta aucune repartit poupou,2821
nan,non,nan jammais peur d un gay,2822
jammais,jamais,nan jammais peur d un gay,2822
pk,pourquoi,alors pk dire tout ca,2824
ca,ça,alors pk dire tout ca,2824
ftg,ferme ta gueule,theo ftg toi aussi t es gay ou quoi,2825
t,t'es,theo ftg toi aussi t es gay ou quoi,2825
etes,êtes,vous etes tous trop bizzard a etre gay,2827
bizzard,bizarre,vous etes tous trop bizzard a etre gay,2827
a,à,vous etes tous trop bizzard a etre gay,2827
etre,être,vous etes tous trop bizzard a etre gay,2827
etes,êtes,vous etes pas naturel,2829
stv,s'il te plaît,stv on peut s'arranger,2830
case,casse,au pire case toi ellian avec insultes on s'en balle,2831
s'en balle,s'en bat les couilles,au pire case toi ellian avec insultes on s'en balle,2831
tkt,t'inquiète,tkt tu vas pas devenir gay c'est pa un virus,2832
pa,pas,tkt tu vas pas devenir gay c'est pa un virus,2832
topus,tous,je vais topus vouys eclate la geul un par un,2833
vouys,vous,je vais topus vouys eclate la geul un par un,2833
eclate,éclate,je vais topus vouys eclate la geul un par un,2833
geul,gueule,je vais topus vouys eclate la geul un par un,2833
mdrrr,mdr,mdrrr,2834
tarlouzz,tarlouze,bande de tarlouzz,2835
a,à,il fait chier personne il te demande pas de toucher son cul cul a se que je sache,2836
ouuuuuuuuu,ouh,ouuuuuuuuu attention o a peur,2837
o,on,ouuuuuuuuu attention o a peur,2837
oooooo,oh,oooooo,2839
qautant,autant,tous qautant que vous etes,2840
etes,êtes,tous qautant que vous etes,2840
tete,tête,nous on va faire des affiche avec ta grosse tete de sale refouler,2842
tg,ta gueule,tg sale noir,2843
meme,même,ecoute achète toi une face meme pas je te touche avec un baton,2844
d'antant,d'antan,tu déverses ta haine car tu as peur d'assumer ton orientation sexuelle en raison du regard d'antant de la société qui était plutôt primitif et axé uniquement sur une haine pure et noire,2845
baton,bâton,le baton qui seervais a te faire battre sa negro,2846
seervais,servait,le baton qui seervais a te faire battre sa negro,2846
a,à,le baton qui seervais a te faire battre sa negro,2846
sa,ça,le baton qui seervais a te faire battre sa negro,2846
vasi,vas-y,vasi lisa prq p)as pas envoie ton snap bb,2848
prq,pourquoi,vasi lisa prq p)as pas envoie ton snap bb,2848
p)as,pas,vasi lisa prq p)as pas envoie ton snap bb,2848
bb,bébé,vasi lisa prq p)as pas envoie ton snap bb,2848
grv,grave,grv envoir ton snap,2851
envoir,envoie,grv envoir ton snap,2851
snap,pseudo snapchat,grv envoir ton snap,2851
tkt,t'inquiète,tkt apres theo ;),2852
apres,après,tkt apres theo ;),2852
theo,théo,tkt apres theo ;),2852
;),clin d'œil,tkt apres theo ;),2852
a,à,Ellian le truc c'est qu'en forçant comme ça tu vas juste te faire ignorer de tout le monde on en a rien a foutre de ton avis que t'aime ou non les gays,2853
meme,même,en vrai meme arrete de parler sinon on va te bloquer l'orientation d'une personne ne te regarde pas,2854
arrete,arrête,en vrai meme arrete de parler sinon on va te bloquer l'orientation d'une personne ne te regarde pas,2854
theo,théo,theo sale arabe je t enclancher,2855
t,te,theo sale arabe je t enclancher,2855
enclancher,enclencher,theo sale arabe je t enclancher,2855
ca,ça,mais pourquoi tu réagis comme ca Ellian enfaite,2859
enfaite,en fait,mais pourquoi tu réagis comme ca Ellian enfaite,2859
tg,ta gueule,tg t es avec moi toi,2861
t,t'es,tg t es avec moi toi,2861
ca,ça,Ca t'apporte quoi ?,2864
a,à,lisa retourne a la cuisine sale pute,2869
mdrrrr,mdr,mdrrrr,2870
cest,c'est,cest frole,2874
a,à,et toi a la nicge sale chien,2875
nicge,nique,et toi a la nicge sale chien,2875
espece,espèce,pourquoi tu forces espece de loco,2876
loco,fou,pourquoi tu forces espece de loco,2876
ca,ça,genre tu te trouve ca drole ?,2877
drole,drôle,genre tu te trouve ca drole ?,2877
frr,frère,theo frr t'as le nom d'un legume,2878
grvvvv,grave,grvvvv,2880
a,à,ellian vient a la sortie du lycéé je vais te foutre une casserole a la gueule on vera la cuisiniere mdr,2882
lycéé,lycée,ellian vient a la sortie du lycéé je vais te foutre une casserole a la gueule on vera la cuisiniere mdr,2882
a,à,ellian vient a la sortie du lycéé je vais te foutre une casserole a la gueule on vera la cuisiniere mdr,2882
vera,verra,ellian vient a la sortie du lycéé je vais te foutre une casserole a la gueule on vera la cuisiniere mdr,2882
cuisiniere,cuisinière,ellian vient a la sortie du lycéé je vais te foutre une casserole a la gueule on vera la cuisiniere mdr,2882
espece,espèce,paul espece de sale gué,2884
gué,pédé,paul espece de sale gué,2884
meme,même,et alors meme,2885
plutot,plutôt,plutot que d'insulter essaye de réfléchir correctement car ton cerveau doit bien lagger,2886
lagger,ralentir,plutot que d'insulter essaye de réfléchir correctement car ton cerveau doit bien lagger,2886
teub,pénis,*tu met pas ta teub dans son cul cul alors fermme ta gueule,2887
cul cul,anus,*tu met pas ta teub dans son cul cul alors fermme ta gueule,2887
fermme,ferme,*tu met pas ta teub dans son cul cul alors fermme ta gueule,2887
cest,c'est,mais vous pensez que cest facile pour paul ? il peut pas le controle et tu reagit comme ca,2888
ca,ça,mais vous pensez que cest facile pour paul ? il peut pas le controle et tu reagit comme ca,2888
tkt,t'inquiète,poupou tkt pas on va pas se laisser faire,2891
beaoucp,beaucoup,merci beaoucp ca fait plz de voir que vous me soutenez,2892
ca,ça,merci beaoucp ca fait plz de voir que vous me soutenez,2892
plz,plaisir,merci beaoucp ca fait plz de voir que vous me soutenez,2892
t'inquiete,t'inquiète,ne t'inquiete pas on sera toujours la pour toi !,2893
la,là,ne t'inquiete pas on sera toujours la pour toi !,2893
tkt,t'inquiète,tkt il faut les faire obeir ses gros chien,2894
obeir,obéir,tkt il faut les faire obeir ses gros chien,2894
nahahaha,hahaha,nahahaha,2895
queu,queue,paul arrête de parler et va te reprendre des queu dans le cul,2897
athur,arthur,merci athur,2900
serieu,sérieux,serieu c'est rien d'être gay! tu es hétéro je suis gay et puis voila,2901
etes,êtes,mais vous etes des sale matcho,2902
matcho,macho,mais vous etes des sale matcho,2902
tkt,t'inquiète,tkt pas je vais pas te sauter dessus,2903
t,t'es,et toi t koi fere t meme pas un homme tu viens de l'antiquité et tu aprle avec moi,2905
koi,quoi,et toi t koi fere t meme pas un homme tu viens de l'antiquité et tu aprle avec moi,2905
fere,faire,et toi t koi fere t meme pas un homme tu viens de l'antiquité et tu aprle avec moi,2905
t,t'es,et toi t koi fere t meme pas un homme tu viens de l'antiquité et tu aprle avec moi,2905
meme,même,et toi t koi fere t meme pas un homme tu viens de l'antiquité et tu aprle avec moi,2905
aprle,parles,et toi t koi fere t meme pas un homme tu viens de l'antiquité et tu aprle avec moi,2905
apres,après,"Ellian au pire ce que tu peux faire c'est aller sur amazon commander une corde et un tabouret puis te pendre, peut etre qu'apres ton ame sera apaisée car aujourd'hui la société à un regarde de plus en plus gentil sur les LGBT",2906
ame,âme,"Ellian au pire ce que tu peux faire c'est aller sur amazon commander une corde et un tabouret puis te pendre, peut etre qu'apres ton ame sera apaisée car aujourd'hui la société à un regarde de plus en plus gentil sur les LGBT",2906
frr,frère,bah frr etre gay c'est une maladie,2907
etre,être,bah frr etre gay c'est une maladie,2907
bin,ben,bin si tu va lui sauter dessu vu que t es gay,2908
dessu,dessus,bin si tu va lui sauter dessu vu que t es gay,2908
t,t'es,bin si tu va lui sauter dessu vu que t es gay,2908
oooo,oh,OOOO LES REFOULER VOS GUEULE,2910
peut etre,peut-être,peut etre que mort t'iras mieux psychologiquement,2911
tg,ta gueule,lisa tg t es adopter noir juive at arabe,2912
t,t'es,lisa tg t es adopter noir juive at arabe,2912
adopter,adoptée,lisa tg t es adopter noir juive at arabe,2912
at,et,lisa tg t es adopter noir juive at arabe,2912
pti,petit,petit blanc bec riche moche et avec un pti zizi,2913
ouai,ouais,ouai je complex sur mon zizi,2914
etes,êtes,vous etes raciste sexiste et homophobe rien de pire,2916
oe,ouais,oe de ouf tu as baisé une meuf de 5 ans o moins ca rentre,2917
de ouf,vraiment,oe de ouf tu as baisé une meuf de 5 ans o moins ca rentre,2917
o,au,oe de ouf tu as baisé une meuf de 5 ans o moins ca rentre,2917
ca,ça,oe de ouf tu as baisé une meuf de 5 ans o moins ca rentre,2917
c,c'est,ouai c est chaud 36 mm,2919
mm,même,ouai c est chaud 36 mm,2919
jsuis,je suis,Jsuis fier d'avoir une trompe comm e ça,2922
comm e,comme,Jsuis fier d'avoir une trompe comm e ça,2922
pecho,draguer,je sais que tu voulais me pecho ellian mais avec ce que tu vient de faire,2923
c,c'est,si tu complexes c pg t'as pas finis ta croissance,2924
pg,pas grave,si tu complexes c pg t'as pas finis ta croissance,2924
jv,je vais,Lisa moi jv te cartoucher tkp,2926
cartoucher,attaquer violemment,Lisa moi jv te cartoucher tkp,2926
tkp,t'inquiète pas,Lisa moi jv te cartoucher tkp,2926
pecho,choper,ellian vouloir pecho lisa mdr tu ressemble à mellisandre,2927
regressé,régresser,lisa elle a connu mieux elle va pas regressé,2928
pan,pansexuel,bref que vous soyez hétéro gays pan peut importe votre orientation on s'en blc,2929
blc,bat les couilles,bref que vous soyez hétéro gays pan peut importe votre orientation on s'en blc,2929
deja,déjà,deja vous bz pas vous etes tous puceaux,2930
bz,baisez,deja vous bz pas vous etes tous puceaux,2930
etes,êtes,deja vous bz pas vous etes tous puceaux,2930
wsh,wesh,wsh arthur parle pas mal de melissandre comme sa,2931
sa,ça,wsh arthur parle pas mal de melissandre comme sa,2931
t,t'es,tant que t bien avc toi cest trql,2932
avc,avec,tant que t bien avc toi cest trql,2932
cest,c'est,tant que t bien avc toi cest trql,2932
trql,tranquille,tant que t bien avc toi cest trql,2932
c,c'est,Ellian sinon quoi ? c toi la victime mtn ?,2933
mtn,maintenant,Ellian sinon quoi ? c toi la victime mtn ?,2933
fraiche,fraîche,elle est trop fraiche wsh,2934
wsh,wesh,elle est trop fraiche wsh,2934
arrete,arrête,comme ça il arrete ses betises Nan nan On ignore juste il changera pas,2937
betises,bêtises,comme ça il arrete ses betises Nan nan On ignore juste il changera pas,2937
nan,non,comme ça il arrete ses betises Nan nan On ignore juste il changera pas,2937
nan,non,comme ça il arrete ses betises Nan nan On ignore juste il changera pas,2937
oeu,peu,elle mange bien à la cantine un oeu comme lisa,2939
derniere,dernière,Elle au moins elle mange ta soeur elle est morte de faim la semaine derniere tu veux qu'on en parle ? arthur,2940
vient,viens,bon vient Elliann quon regle nos soucie en irl,2941
quon,qu'on,bon vient Elliann quon regle nos soucie en irl,2941
regle,règle,bon vient Elliann quon regle nos soucie en irl,2941
soucie,soucis,bon vient Elliann quon regle nos soucie en irl,2941
irl,in real life,bon vient Elliann quon regle nos soucie en irl,2941
jsuis,je suis,et theo pas la peine de dire que jsuis grosse,2943
ramene,ramène,ramene toi on parle tranquillement,2944
moausi,moi aussi,moausi,2945
texcuser,t'excuser,tu vas texcuser envers Paul,2946
t'es,tu es,theo redescend un peu t'es pd avec paul?,2949
pd,pédé,theo redescend un peu t'es pd avec paul?,2949
trql,tranquille,laissez le trql il a rien fait enft juste je comprends pas,2950
enft,en fait,laissez le trql il a rien fait enft juste je comprends pas,2950
arreter,arrêter,oui merci mais tu veux pas arreter en fait???,2951
mere,mère,Arthur demande à ta mere si je suis gay tu verras ce qu'elle va te repondre,2952
repondre,répondre,Arthur demande à ta mere si je suis gay tu verras ce qu'elle va te repondre,2952
meme,même,et puis meme si je l'étais,2953
elliiiiian,ellian,oui bon au pire elliiiiian degage,2955
t',tu,mais t'insulte pour rien dire,2956
jpense,je pense,Ellian jpense qu'il a pas besoin de se rémémorer ça,2958
ca,ça,ca fait 50 fois je te propose irl ta peur,2959
irl,in real life,ca fait 50 fois je te propose irl ta peur,2959
ta,tu as,ca fait 50 fois je te propose irl ta peur,2959
vocabulair,vocabulaire,non vocabulair est très riche je suis impressioné,2960
impressioné,impressionné,non vocabulair est très riche je suis impressioné,2960
