source,target,context,text_index
f,fait,lucas il f trop le mec a pas ouvrir sa bouche,1147
t',tu,pourquoi t'assume pas,1148
a,à,Soan commence pas a parler de raciste,1152
tg,ta gueule,tg c'est lucas qui fou la merde,1153
olala,oh là là,olala vanessa commence pas a parler de cerveaux avec nous,1154
a,à,olala vanessa commence pas a parler de cerveaux avec nous,1154
a,à,mais c'est la faute a silvia assumer un peu,1161
galoche,embrassé avec la langue,exactement c'est lucas qui l'as galoche,1162
ca,ça,ca a galoche fort ou pas,1163
oe,ouais,oe bien dit,1164
arrette,arrête,Arrette de parler pour dire de la merde,1165
t'es,tu es,"assume et rentre chez toi Silvia , t'es pas la bien veenu ici",1169
veenu,venue,"assume et rentre chez toi Silvia , t'es pas la bien veenu ici",1169
c,c'est,C silvia qui chope tout se qui bouge,1170
se,ce,C silvia qui chope tout se qui bouge,1170
t'est,tu es,Theo toi t'est une grosse allumette,1171
aya,ah,aya silvia l'allumeuse,1172
tord,tort,Vous faites chauffer c'est Silvia qui est en tord,1173
ls,les,reste ls affronte jsuis avec toi,1176
jsuis,je suis,reste ls affronte jsuis avec toi,1176
darengé,d'arranger,ouais peut être que je suis en mauvaise position mais moi au j'essaye  darengé les choses,1177
espece,espèce,voila au moins t'assume espece de chaudasse,1178
chaudasse,femme provocante,voila au moins t'assume espece de chaudasse,1178
tg,ta gueule,tg la pick me,1179
pick me,qui cherche l'approbation,tg la pick me,1179
oe,ouais,oe ce gros fou,1182
ta,tu as,ta mis les dents silvia ?,1183
charo,charognard,charo de rien du tt,1184
tt,tout,charo de rien du tt,1184
meme,même,lucie au début tu connaissait meme pas l'histoires donc ferme bien ta geule,1186
geule,gueule,lucie au début tu connaissait meme pas l'histoires donc ferme bien ta geule,1186
ftg,ferme ta gueule,il a pas dignité ftg toi,1187
t'est,tu es,Adrien t'est un raciste,1189
jte,je te,jte monte en l'air,1191
r,rien,tu comprend r,1192
etes,êtes,les gars vous etes hors sujet on est la pour stoper la haine contre silvia pas savoir qui a fait quoi,1194
la,là,les gars vous etes hors sujet on est la pour stoper la haine contre silvia pas savoir qui a fait quoi,1194
stoper,stopper,les gars vous etes hors sujet on est la pour stoper la haine contre silvia pas savoir qui a fait quoi,1194
r,rien,Soan t'a r compris a l'histoire,1197
a,à,Soan t'a r compris a l'histoire,1197
vrais,vraie,toi que je te trouve pas dans la vrais vie,1198
trkl,tranquille,laisse ma pote trkl elle a rien fait,1200
c,c'est,et adrien pourquoi c silvia la coupable alors c quand même lucas qui est en couple et qu ila embrassé connard,1201
c,c'est,et adrien pourquoi c silvia la coupable alors c quand même lucas qui est en couple et qu ila embrassé connard,1201
qu ila,qu'il a,et adrien pourquoi c silvia la coupable alors c quand même lucas qui est en couple et qu ila embrassé connard,1201
jtm,je t'aime,vanessa jtm,1203
tg,ta gueule,Theo tg,1205
j'avous,j'avoue,non mais j'avous lucas dans l'histoire,1206
tg,ta gueule,diana tg ton collegue en faute qui assume pas,1207
collegue,collègue,diana tg ton collegue en faute qui assume pas,1207
a,à,Vanessa la grosse folle commence pas a me parler comme sa,1208
sa,ça,Vanessa la grosse folle commence pas a me parler comme sa,1208
tg,ta gueule,tg elle a raison,1209
violké,violée,mais lucas il a rien fait c'est elle qui l'a violké,1210
enft,en fait,Adrien tu te prend pour qui enft,1211
frr,frère,diana grosse folle je vas te tuer frr tu comprend rien,1213
lu,lui,tu vois pas que c'est lu qui est en faute,1214
aka,alias,Diana aka la pick me sans cerveau,1216
pick me,qui cherche à plaire,Diana aka la pick me sans cerveau,1216
r,rien,hebert tu comprend r,1217
meme,même,meme si ca aurait etait silvia qui l'a embrassé,1218
ca,ça,meme si ca aurait etait silvia qui l'a embrassé,1218
etait,était,meme si ca aurait etait silvia qui l'a embrassé,1218
camillle,camille,camillle théo et dianna  vous servez a quoi dans l'histoire a part donner raison a adrien bande de gamins en chaleur,1219
lu,lui,mais c'est lu ne voulais pas l'embrasser,1221
a,à,elle lui doit rien a sophie,1222
c,c'est,moi je dit lucas c un chien et silvia une chienne donc trkl ca va bien ensemble,1225
trkl,tranquille,moi je dit lucas c un chien et silvia une chienne donc trkl ca va bien ensemble,1225
ca,ça,moi je dit lucas c un chien et silvia une chienne donc trkl ca va bien ensemble,1225
sert,sers,Camille tu sert à rien,1227
doc,donc,c'est de la faute de Silvia doc qu'elle aille se faire enculer ailleurs,1231
c,c'est,lucas est en faute et c a lui de régler ca,1232
a,à,lucas est en faute et c a lui de régler ca,1232
ca,ça,lucas est en faute et c a lui de régler ca,1232
r,rien,sylvia elle a r  fait c est lucas qui est en couple qui est alle l embrassé,1233
c,c'est,sylvia elle a r  fait c est lucas qui est en couple qui est alle l embrassé,1233
alle,allé,sylvia elle a r  fait c est lucas qui est en couple qui est alle l embrassé,1233
ca,ça,tout ca alors que c'est lucas qui m'a embrassé,1235
etes,êtes,vous etes de ouf,1238
ouf,fou,vous etes de ouf,1238
t'est,t'es,"Adrien t'est jaloux c'est ça, t'aimerais bien galoche Silvia c'est pour ça que tu l'harcelle",1239
l'harcelle,l'harcèles,"Adrien t'est jaloux c'est ça, t'aimerais bien galoche Silvia c'est pour ça que tu l'harcelle",1239
denonce,dénonce,denonce Silvia #violeuse,1240
veuc,veux,silvia tu veuc pas assumer un peu,1242
j'aassume,j'assume,j'aassume qu'il est venu m'embrasser,1245
pick me,qui cherche l'approbation,Diana #pick me,1247
tg,ta gueule,tg soan tg lucie,1249
tg,ta gueule,tg soan tg lucie,1249
mere,mère,c'est ta mere la pick me,1251
pick me,personne qui recherche l'approbation masculine,c'est ta mere la pick me,1251
oe,oui,oe,1252
ntm,nique ta mère,ntm Silvia arrête de rejeter la faute sur Lucas,1253
daroones,mères,on a dit on parle pas des daroones,1256
espece,espèce,je veux te taper toi lucie espece de grosses salope en sueur,1258
c,c'est,"c clair lucas na pas de couille et du coup il demande de l'aide sale chiens et connard il sert a rie,n",1259
na,n'a,"c clair lucas na pas de couille et du coup il demande de l'aide sale chiens et connard il sert a rie,n",1259
a,à,"c clair lucas na pas de couille et du coup il demande de l'aide sale chiens et connard il sert a rie,n",1259
"rie,n",rien,"c clair lucas na pas de couille et du coup il demande de l'aide sale chiens et connard il sert a rie,n",1259
tg,ta gueule,tg soan,1260
meme,même,lucas a meme pas les couille de regler ses probleme tt seul,1261
regler,régler,lucas a meme pas les couille de regler ses probleme tt seul,1261
probleme,problèmes,lucas a meme pas les couille de regler ses probleme tt seul,1261
tt,tout,lucas a meme pas les couille de regler ses probleme tt seul,1261
nan,non,nan sah to sah adrien arrete c est la faute de luca,1263
sah,sérieusement,nan sah to sah adrien arrete c est la faute de luca,1263
to,toi,nan sah to sah adrien arrete c est la faute de luca,1263
sah,sérieusement,nan sah to sah adrien arrete c est la faute de luca,1263
arrete,arrête,nan sah to sah adrien arrete c est la faute de luca,1263
quo,quoi,diana  tu va faire quoi et tu sert quo ia part insulter,1264
ia,il y a,diana  tu va faire quoi et tu sert quo ia part insulter,1264
eput,peu,si eput d'argument que sa parle de choses qui n'ont rien avoir soan,1266
sa,ça,si eput d'argument que sa parle de choses qui n'ont rien avoir soan,1266
c,c'est,1 2 3 le roi du silence commence ( celui qui parle c une salope ),1267
cest,c'est,cest toi la solope,1268
solope,salope,cest toi la solope,1268
sah,en vrai,En sah Silvia je vais lui voler son gouté,1270
gouté,goûter,En sah Silvia je vais lui voler son gouté,1270
tg,ta gueule,tg adrien,1271
t'as,t'a,Adrien on t'as pas taper quand t'étais petit,1272
t,t'es,lucie t es pas faché contre le frigo,1273
m,me,vous ne m ecouter pas,1276
ecouter,écouter,vous ne m ecouter pas,1276
parlé,parler,lucas essaye de parlé de tous ca avec silvia,1277
tous,tout,lucas essaye de parlé de tous ca avec silvia,1277
ca,ça,lucas essaye de parlé de tous ca avec silvia,1277
tg,ta gueule,tg,1279
a,à,Vanessa tu me fait la grosse folle depuis le début alors commence pas a me faire chauffer,1282
tg,ta gueule,tg lucie,1284
tes,t'es,soan tu tes pris pour qui meme a me demander de m'excuser,1288
meme,même,soan tu tes pris pour qui meme a me demander de m'excuser,1288
a,à,soan tu tes pris pour qui meme a me demander de m'excuser,1288
c,c'est,c est pas vrai,1289
ont,on,mais oui ont raciste,1290
vois,voir,tu vas vois je vais t'etiendre toi,1291
t'etiendre,t'éteindre,tu vas vois je vais t'etiendre toi,1291
t'est,t'es,Camille EXCUSE TOI T'EST RACISTE ET CONNE,1293
cheh,bien fait pour toi,cheh hebert,1295
t'est,t'es,DIANA EXCUSE TOI T'EST RACISTES ET CONNE AUSSI,1296
arretez,arrêtez,non les enfants arretez de vous disputez,1297
ta,t'a,SOAN ON TA RIEN DEMANDER,1299
theme,thème,diana t'es pas dans le theme,1301
ftg,ferme ta gueule,ftg soan,1302
tes,t'es,lucas essaye de faire un truc intelligent ( parle avec elles et excuse toi auprès d'elle si tes un homme ),1303
d'etre,d'être,Camille on t'as pas demander non plus d'etre conne,1305
arrete,arrête,Arrete avec raciste il y a aucun rapport,1307
tg,ta gueule,SOAN TG. TU APRLKE TROPP LA,1308
aprlke,parles,SOAN TG. TU APRLKE TROPP LA,1308
tropp,trop,SOAN TG. TU APRLKE TROPP LA,1308
la,là,SOAN TG. TU APRLKE TROPP LA,1308
pick me,personne cherchant l'approbation masculine,Diana t'as pas honte sale pick me,1309
oe,oui,oe grosse folle,1310
challeurs,chaleurs,diana camille les chiens en challeurs aidé a résoudre cette histoire au lieu detre  raciste,1315
a,à,diana camille les chiens en challeurs aidé a résoudre cette histoire au lieu detre  raciste,1315
detre,d'être,diana camille les chiens en challeurs aidé a résoudre cette histoire au lieu detre  raciste,1315
pepon,fumer (un joint),silvia assume tu la pepon un peu nan,1317
nan,non,silvia assume tu la pepon un peu nan,1317
ca,ça,pourquoi ca t'intéresse,1319
as,pas,elle etait as en couple ELLE,1320
a,à,adrien gros suceur a lucas,1322
ca,ça,folle voleuse ca va on aura tout entendu de la part de racistes!!!,1324
pk,pourquoi,pk raciste,1326
c,c'est,c pas raciste!,1327
pk,pourquoi,pk raciste,1328
cest,c'est,cest surtt pas le theme,1329
surtt,surtout,cest surtt pas le theme,1329
prefere,préfère,je prefere etre celib qu'en couple avec un fdp perso hein,1330
etre,être,je prefere etre celib qu'en couple avec un fdp perso hein,1330
celib,célibataire,je prefere etre celib qu'en couple avec un fdp perso hein,1330
fdp,fils de pute,je prefere etre celib qu'en couple avec un fdp perso hein,1330
t'a,tu as,de dire que t'a rien à faire ici c'est pas raciste,1332
dis pute ez,disputez,ne vous dis pute ez pas,1333
fdp,fils de pute,le fdp c'est celui que tu défend Camille,1334
mv,ma vie,aucun rapport mv,1335
arrete,arrête,Soan arrete de faire chauffer ftg un peu,1336
ftg,ferme ta gueule,Soan arrete de faire chauffer ftg un peu,1336
arrete,arrête,soan arrete de parler pour dire de la merde,1337
cest,c'est,cest celui qui defend l'autre fdp de lucas et adrien,1338
fdp,fils de pute,cest celui qui defend l'autre fdp de lucas et adrien,1338
enccule,encule,soan on t'enccule,1339
c,c'est,Adrien assume c que t'as crée et excuse toi alors,1340
ca,ça,bon ca ne sert a rien de parler avec vous car vous ne voulez pas parler calmement et resoudre cette histoire,1341
a,à,bon ca ne sert a rien de parler avec vous car vous ne voulez pas parler calmement et resoudre cette histoire,1341
resoudre,résoudre,bon ca ne sert a rien de parler avec vous car vous ne voulez pas parler calmement et resoudre cette histoire,1341
nonnn,non,nonnn,1343
t,t'es,silvia on sait tous que t une chudasse,1346
chudasse,pute,silvia on sait tous que t une chudasse,1346
ecoutez,écoutez,ecoutez vannesa,1347
vannesa,vanessa,ecoutez vannesa,1347
mesvies,mes vies,bisous mesvies,1348
tg,ta gueule,Camille TG,1349
t'a,tu as,Soan t'a r compris a l'histoire commence pas avec t'es raciste,1350
r,rien,Soan t'a r compris a l'histoire commence pas avec t'es raciste,1350
a,à,Soan t'a r compris a l'histoire commence pas avec t'es raciste,1350
tg,ta gueule,tg,1351
aller,allez,aller ciao bande fde con,1353
fde,de,aller ciao bande fde con,1353
tg,ta gueule,soan tg. tu nous soule la,1354
nn,non,nn,1356
mtn,maintenant,c'est moi qui soule mtn bande de racistes,1357
cc,coucou,Cc,1358
cc,coucou,cc les amis,1359
mdrrrr,mdr,silvia mdrrrr petit prenom de pute ca,1363
prenom,prénom,silvia mdrrrr petit prenom de pute ca,1363
ca,ça,silvia mdrrrr petit prenom de pute ca,1363
bahahah,rire,bahahah clairement,1365
pttdr,pété de rire,pttdr c pas logique adrien cest ses parents qui l'ont appeler sivia,1367
c,c'est,pttdr c pas logique adrien cest ses parents qui l'ont appeler sivia,1367
cest,c'est,pttdr c pas logique adrien cest ses parents qui l'ont appeler sivia,1367
ca,ça,ca se voit qu'elle à pas était bien élevé pae ses parents cette pute elle assume même pas quel se cache quand on commence à parler de son cas,1368
pae,par,ca se voit qu'elle à pas était bien élevé pae ses parents cette pute elle assume même pas quel se cache quand on commence à parler de son cas,1368
quel,qu'elle,ca se voit qu'elle à pas était bien élevé pae ses parents cette pute elle assume même pas quel se cache quand on commence à parler de son cas,1368
enfinnnn,enfin,ENFINNNN t qune pute stp,1369
t,tu es,ENFINNNN t qune pute stp,1369
qune,qu'une,ENFINNNN t qune pute stp,1369
stp,s'il te plaît,ENFINNNN t qune pute stp,1369
p...,pute,je suis là et je ne suis pas une p...,1370
fr,français,diana parle fr,1371
hahhahahahha,haha,hahhahahahha trp drole,1372
trp,trop,hahhahahahha trp drole,1372
tbz,baise,silvia je tbz ta mere,1373
wallah,je le jure,wallah va te pendre fr,1374
fr,frère,wallah va te pendre fr,1374
pere,père,ton pere ton fils je les bz sale pute,1375
bz,baise,ton pere ton fils je les bz sale pute,1375
prq,pourquoi,prq tu vole les mecs des gens stp,1377
stp,s'il te plaît,prq tu vole les mecs des gens stp,1377
"da,s",dans,"elle a encore une bite da,s la bouche c pour ca que l'on comprend pas",1380
c,c'est,"elle a encore une bite da,s la bouche c pour ca que l'on comprend pas",1380
ca,ça,"elle a encore une bite da,s la bouche c pour ca que l'on comprend pas",1380
c t,c'était,"je n'ai rien volé, lucas m'a dit que c t fini avec Sophie",1381
nn,non,nn mais la jparle  serieux enft,1382
jparle,je parle,nn mais la jparle  serieux enft,1382
enft,en fait,nn mais la jparle  serieux enft,1382
prq,pourquoi,prq ta fait ca pttttdrr,1384
ta,tu as,prq ta fait ca pttttdrr,1384
ca,ça,prq ta fait ca pttttdrr,1384
pttttdrr,ptdr,prq ta fait ca pttttdrr,1384
t,tu,voler quel mec t as vu a quoi elle ressemble,1385
a,à,voler quel mec t as vu a quoi elle ressemble,1385
sa,ça,sa rejete la fauter sur les autres,1387
fauter,faute,sa rejete la fauter sur les autres,1387
meme,même,meme shreck veut pas delle,1388
shreck,shrek,meme shreck veut pas delle,1388
delle,d'elle,meme shreck veut pas delle,1388
tt,tout,comme par hasard elle a tt oublié,1390
ca,ça,phrase de pute ca,1392
pond,pont,bref va sauter d'un pond pttdr,1395
pttdr,pété de rire,bref va sauter d'un pond pttdr,1395
j,je,ah en fait j ai pas encore lu le scrypte,1396
scrypte,script,ah en fait j ai pas encore lu le scrypte,1396
jsusi,je suis,jsusi trop con,1398
c,c'est,wow diana c relou,1399
relou,lourd,wow diana c relou,1399
frr,frère,bref sivia retourne en siberie frr personne te veux ici,1402
reel,c'est réel,reel silvia t finito,1403
t,tu es,reel silvia t finito,1403
finito,tu es fini,reel silvia t finito,1403
c,c'est,moi je pense que seul les vrai hommes c à dire adrien soan et moi somme apte à parler,1404
t,tu es,silvia t q'une pute,1407
q',que,silvia t q'une pute,1407
cc,coucou,cc,1410
sohpie,sophie,ça va Sohpie?,1411
ouai,ouais,ouai srx,1415
srx,sérieux,ouai srx,1415
ptn,putain,mais ptn tu le fais exprès en +,1418
+,plus,mais ptn tu le fais exprès en +,1418
:),sourire,on s'est super bien amusé :),1428
pdt,pendant,pdt le voyage ?,1429
la,là,yo il se passe quoi la,1432
cte,cette,mais cte folle elle a embrassé lucas pdt le voyazge,1433
pdt,pendant,mais cte folle elle a embrassé lucas pdt le voyazge,1433
voyazge,voyage,mais cte folle elle a embrassé lucas pdt le voyazge,1433
mm,même,c'est mm pas vrai,1435
a,à,a ton avis,1436
t,te,je t ai vu en faite,1438
en faite,en fait,je t ai vu en faite,1438
ft,fait,en ft t'es une grosse pute c'est ça que je dois comprendre,1440
vazi,vas-y,à vazi dou tu m'insultes?,1442
dou,d'où,à vazi dou tu m'insultes?,1442
en faite,en fait,en faite tes vraiment une salope silvia,1443
tes,t'es,en faite tes vraiment une salope silvia,1443
ta,tu as,ta trompé ton mec,1445
ca,ça,ca se fait grave pas,1447
tes,t'es,bah tes une salope en faite,1450
en faite,en fait,bah tes une salope en faite,1450
ecpece,espèce,ecpece d'usine a bite,1454
tes,t'es,tes une autoroute,1455
c,c'est,c chiant de payer,1457
t,te,T EXCITE PAS,1460
ca,ça,deux secondes silvia elle ferait pas ca,1461
sijnon,sinon,et sijnon licas il veurt peut etre casser avec toiu,1464
licas,lucas,et sijnon licas il veurt peut etre casser avec toiu,1464
veurt,veut,et sijnon licas il veurt peut etre casser avec toiu,1464
peut etre,peut-être,et sijnon licas il veurt peut etre casser avec toiu,1464
toiu,toi,et sijnon licas il veurt peut etre casser avec toiu,1464
tg,ta gueule,mais bordel tg herbert tu vois pas je lui parle,1465
i,il,Le mec i mytho de ouf pcq il veut foutre sonb cornichon dans la Sophie,1466
mytho,mythomane,Le mec i mytho de ouf pcq il veut foutre sonb cornichon dans la Sophie,1466
ouf,fou,Le mec i mytho de ouf pcq il veut foutre sonb cornichon dans la Sophie,1466
pcq,parce que,Le mec i mytho de ouf pcq il veut foutre sonb cornichon dans la Sophie,1466
sonb,zob,Le mec i mytho de ouf pcq il veut foutre sonb cornichon dans la Sophie,1466
mytho,mentir,Mais arrête de mytho stp,1468
stp,s'il te plaît,Mais arrête de mytho stp,1468
mfais,me fais,tu mfais dla peine,1470
dla,de la,tu mfais dla peine,1470
tg,ta gueule,tg toi,1471
vasi,vas-y,vasi essaie,1474
jen,j'en,jen profiterai pour te baiser,1477
ca,ça,ca va pas ou quoi,1478
jai,j'ai,mais jai peur le l'erpece,1480
l'erpece,l'herpès,mais jai peur le l'erpece,1480
t,tu es,oui t homophobe ?,1482
salope,salope,Tu veux quoi SALOPE  en faite t es passer sur tout paname donc parle pas,1483
en faite,en fait,Tu veux quoi SALOPE  en faite t es passer sur tout paname donc parle pas,1483
t es,tu es,Tu veux quoi SALOPE  en faite t es passer sur tout paname donc parle pas,1483
paname,paris,Tu veux quoi SALOPE  en faite t es passer sur tout paname donc parle pas,1483
pblm,problème,j'ai juste un pblm avec les putes de ton espèce et les mythos,1484
mythos,mythomanes,j'ai juste un pblm avec les putes de ton espèce et les mythos,1484
t,t'es,t une salope et t homophobe ???,1485
t,t'es,t une salope et t homophobe ???,1485
tetais,tu étais,sophie tetais pas la pendant genre une semaine tu reviens pour foutre la merde,1486
la,là,sophie tetais pas la pendant genre une semaine tu reviens pour foutre la merde,1486
teubé,bête,On vit sur la côte d'Azur espèce de teubé,1487
t,t'es,tu t cru à st denis ou quoi?,1488
st,saint,tu t cru à st denis ou quoi?,1488
ca,ça,silvia franchement ca se fait pas ce que ta fait,1490
ta,tu as,silvia franchement ca se fait pas ce que ta fait,1490
en ft,en fait,mais silvia t'es vraiment une grosse sous race en ft,1494
ecartons,écartons,bah ecartons les cuisses enseble ! ta l'air d'aimer ca,1496
enseble,ensemble,bah ecartons les cuisses enseble ! ta l'air d'aimer ca,1496
ta,tu as,bah ecartons les cuisses enseble ! ta l'air d'aimer ca,1496
ca,ça,bah ecartons les cuisses enseble ! ta l'air d'aimer ca,1496
stp,s'il te plaît,herbert ta gueule stp,1498
ptn,putain,mais michel ptn ya rien à savoir de plus,1500
ya,il y a,mais michel ptn ya rien à savoir de plus,1500
mytho,mythomane,il mytho de ouf pcq il veut se taper sSophie,1501
ouf,fou,il mytho de ouf pcq il veut se taper sSophie,1501
pcq,parce que,il mytho de ouf pcq il veut se taper sSophie,1501
ssophie,sophie,il mytho de ouf pcq il veut se taper sSophie,1501
keske,qu'est-ce que,keske je tai fait,1507
tai,t'ai,keske je tai fait,1507
c,c'est,c est la vérite,1508
vérite,vérité,c est la vérite,1508
mytho,mensonge,mais arrête ton mytho deux secondes,1509
en faite,en fait,en faite cherchez pas silvia elle veux SE FAIRE BAISER PAR TT LE MONDE,1510
tt,tout,en faite cherchez pas silvia elle veux SE FAIRE BAISER PAR TT LE MONDE,1510
embrasse,embrassé,il le saurait si il avait embrasse qqun nan,1511
qqun,quelqu'un,il le saurait si il avait embrasse qqun nan,1511
nan,non,il le saurait si il avait embrasse qqun nan,1511
ssale,sale,ssale pute  tu vend meme pas ton corps taime ca,1512
meme,même,ssale pute  tu vend meme pas ton corps taime ca,1512
taime,tu aimes,ssale pute  tu vend meme pas ton corps taime ca,1512
ca,ça,ssale pute  tu vend meme pas ton corps taime ca,1512
t'es,tu es,Silvia t'es pire qu'une pute,1513
a,à,demandez a lucas,1515
sohpie,sophie,Et toi Sohpie tu es bien conne de croire tout ce qu'on te raconte,1517
ma,m'a,mdr  tu ma bien tuer mais ca va comment les séances de réducation ? tarrive a remarcher ??,1525
ca,ça,mdr  tu ma bien tuer mais ca va comment les séances de réducation ? tarrive a remarcher ??,1525
réducation,rééducation,mdr  tu ma bien tuer mais ca va comment les séances de réducation ? tarrive a remarcher ??,1525
tarrive,tu arrives,mdr  tu ma bien tuer mais ca va comment les séances de réducation ? tarrive a remarcher ??,1525
a,à,mdr  tu ma bien tuer mais ca va comment les séances de réducation ? tarrive a remarcher ??,1525
povr,pauvre,quelle photo povr merde,1526
teubé,bête,teubé va,1529
trql,tranquille,laisse Lisa trql,1531
triz,fille,La triz qui traite les autres de teube,1532
teube,bête,La triz qui traite les autres de teube,1532
t',tu,t'avoues du coup?,1535
pécho,choper,tu veux la pécho,1536
c,c'est,C estpas moi le sujet,1538
estpas,pas,C estpas moi le sujet,1538
ju_ste,juste,c'est bon tu viens de comprendre qu'Adrien veut ju_ste te baiser Sophie?,1539
quil,qu'il,fait chier de parler de lucas alors quil est pas la faites pas chier appelez le,1540
la,là,fait chier de parler de lucas alors quil est pas la faites pas chier appelez le,1540
mytho,ment,Il mytho de ouf,1541
ouf,fou,Il mytho de ouf,1541
drole,drôle,Bon Adrien si c'est un prank c'est pas drole,1542
vazi,vas-y,Appelle le Adrien vazi,1544
t,t'es,Mais herbert tu t es cru sur youtube,1545
p***,pute,habille toi vite grosse p***,1552
nan,non,ah mais nan c'est vrai t'aimes te faire péter le cul j'avais oublié,1554
a,à,ouais mais cherche pas a comprendre pk ca se fait pas,1556
pk,pourquoi,ouais mais cherche pas a comprendre pk ca se fait pas,1556
ca,ça,ouais mais cherche pas a comprendre pk ca se fait pas,1556
pk,pourquoi,Alors pk tu le suce tous les soir,1557
nan,non,nan mais c'est vous là... Adrien dit un truc et tout le monde se met dessus,1558
mdrr,mdr,mdrr tu l'aurais pas embrassé si c'était qu'un débile,1562
taimerai,t'aimerais,taimerai biezn etre suce hein adri tes bien seul,1563
biezn,bien,taimerai biezn etre suce hein adri tes bien seul,1563
etre,être,taimerai biezn etre suce hein adri tes bien seul,1563
suce,sucé,taimerai biezn etre suce hein adri tes bien seul,1563
adri,adrien,taimerai biezn etre suce hein adri tes bien seul,1563
tes,t'es,taimerai biezn etre suce hein adri tes bien seul,1563
ca,ça,Tu trouve ca drole en plus,1564
drole,drôle,Tu trouve ca drole en plus,1564
t,t'es,putain t vmt conne,1566
vmt,vraiment,putain t vmt conne,1566
biensur,bien sûr,mais oui biensur,1567
t,t'es,t es un vrai sac  à foutre,1568
tg,ta gueule,silvia tg on a des preuvesx et des témoins,1569
preuvesx,preuves,silvia tg on a des preuvesx et des témoins,1569
